name,tge_year,narrative,type,inst_ico,comm_ico,listing_price,inst_vesting_perc,pub_vesting_perc,cex_1,cex_2,cex_3,x_comm,hr1_high,hr1_low,hr2_high,hr2_low,hr3_high,hr3_low
NEO,2017.025991216612,,,0.9947765700431677,-0.0025979757874703235,0.19473340079174142,51.62986079047942,-0.013098665652195668,,,,8949.993804976473,0.02088531716212694,0.03430015717822098,0.1288436704723346,0.10818250513351446,0.49475644745356934,0.3104758032304666
BUBBLE,2019.9844405302051,,,1.005704103194572,0.004092096001423057,0.02420383218807289,99.9839427492247,-0.0023624871774857526,,,,3538.0177677157185,0.014335410932654488,0.013095686207553137,0.046252072382503805,0.024027835068521526,0.01691931471836522,0.017649491177237596
POLKADOT,2024.0046430934074,,,0.005429489994443432,1.0007586572246991,0.37772717434157715,-0.009448224192987431,30.014085892462326,,,,297569.99660283246,0.7062842677697392,0.4884780360490159,0.538788640081532,0.47315123177905094,0.43905120257834507,0.43220739431388416
CLOUD,2015.9864080767281,,,0.9859452880716777,0.011499313568430156,0.3697768523170486,49.63681755345187,-0.01150589485766812,,,,74900.00678798096,0.08543744143856596,0.035691081753888645,0.4141023957247285,0.2957731727966663,0.8065221606403608,19.99341847370763
FIL,2024.0066187077311,,,1.014164949538195,0.9983343160060046,0.03510456664090093,18.508628178532888,29.988771551654697,,,,749999.9923886611,0.1048229446966576,-0.0023401173085336006,0.1231283213265119,0.013531045495104727,0.008917741924892917,-0.0041447411023351095
STRAX,2019.9868606513878,,,0.9907171174377717,-0.012141637709885543,0.039763245778077584,99.99102355074615,-0.006723460289437853,,,,3537.9910660390597,0.021623509059312474,0.006655485901717143,0.05237499132130436,0.04180567154298924,0.0227216301105779,0.022095090824629064
FIL,2023.9918150706237,,,0.9885520293474992,-0.028004899523694796,0.14696866712155962,100.00082815541462,-0.009850779211473586,,,,50600.000980858036,2.231420462275015,1.1914241219043846,1.860826469329749,1.5691373833552327,2.2105804863852034,1.9217405919534913
POLKADOT,2015.9877334220826,,,0.9844914908865438,-0.004292053175392647,0.18638629768553722,39.9990570636127,0.007162742398177251,,,,1039999.9936527228,0.5530222971253018,0.20991822182361383,0.12749579939091316,0.12496145015971086,0.1489085065704462,0.12304489898380574
ADA,2024.0092751482987,,,-0.0053872875081653095,1.0094813687746451,0.3876184978906318,0.0037878590428549416,29.992762849029386,,,,297570.00004280277,0.6809510763739242,0.46532326545979963,0.5375818188426885,0.4538907828553909,0.4409660144650468,0.41524631657888006
NEO,2023.997002911396,,,0.9860295878611467,-0.00606250686877801,0.15173124524682458,100.00144702603406,0.012887028343270426,,,,50599.98214182113,2.2348812334088946,1.190034311076402,1.8455616818247798,1.5516118134139054,2.2101948878083864,1.9222697134185631
COOKIE,2024.003020237721,,,0.9952581706203493,0.001546316367998703,0.11873986040252955,2.0157684920769454,12.49347443652314,,,,199999.99956925822,0.17097687381054646,0.08632466728649948,0.21498426799311304,0.09087923954291773,0.195021639007095,0.0423579740756015
ARK,2024.001087929556,,,0.9992202476033815,0.0061865517887300416,0.15509846162072538,99.99744281404817,0.0005172041915127808,,,,50599.98308606955,2.2308896942699747,1.2100718180708259,1.8620522536108328,1.5722548860146697,2.2115978626801183,1.9179753910107422
BUBBLE,2024.006739407943,,,0.9893014523319906,-0.0006436546998002388,0.12038274732379078,1.997920383882831,12.500631269251798,,,,200000.00572687658,0.1636347239324332,0.07756840531305725,0.20694352006890873,0.06691835463057787,0.19648649305121435,0.06532705821401529
FIL,2023.994546077723,,,-0.01568197628366402,0.993035497010995,0.3745063559037877,-0.015696480973120517,29.988366609383593,,,,297570.01096527884,0.6982776146491505,0.470728518951793,0.5407701112769718,0.47455757614232885,0.4560639481967089,0.412143116204036
STRAX,2016.9979953671095,,,0.9962577544178084,1.0040935212968165,11.453417566788463,8.005304919288935,55.008896481556484,,,,664105.9868559995,61.02515163424121,32.71040023244557,32.56227764351561,26.80435767774782,29.93073364490355,27.658128507524225
